age,ai_confidence,ai_prediction,ai_shown,big5_agreeableness,big5_conscientiousness,big5_extraversion,big5_neuroticism,big5_open_mindedness,big5_timestamp,confidence,created_at,current_phase,experience_level,facet_aesthetic_sensitivity,facet_anxiety,facet_assertiveness,facet_compassion,facet_creative_imagination,facet_depression,facet_emotional_volatility,facet_energy_level,facet_intellectual_curiosity,facet_organization,facet_productiveness,facet_respectfulness,facet_responsibility,facet_sociability,facet_trust,final_confidence,final_decision,gender,ground_truth_binary,ground_truth_raw,healthcare_qualification,initial_confidence,initial_decision,iq_completed_at,iq_score,iq_time_remaining,participant_id,phase1_completed_at,phase1_video_watched,phase2_completed_at,residence,reverted_decision,school,symptom1,symptom2,treatment_group,trial_duration,trial_end_time,trial_id,trial_image,trial_image_name,trial_original_image_name,trial_start_time,user_id
16,0.1918,0,False,2.33,4.17,3.42,2.75,3.75,1770286124275,7,2026-02-05T09:59:08.008000+00:00,phase1_completed,none,1.5,2.5,3.75,2,5,3,2.75,3.5,4.75,4.5,4.25,2.75,3.75,3,2.25,,,male,1,2,none,,0,1770286250353,0,477,0-XTEVM,1770286706493,True,,city,,secondary,,,0,2.578,1770286455504,trial_8,9788301L.png,33.png,9788301L.png,1770286452926,0-XTEVM
16,0.3771,0,False,2.33,4.17,3.42,2.75,3.75,1770286124275,7,2026-02-05T09:59:08.008000+00:00,phase1_completed,none,1.5,2.5,3.75,2,5,3,2.75,3.5,4.75,4.5,4.25,2.75,3.75,3,2.25,,,male,0,0,none,,0,1770286250353,0,477,0-XTEVM,1770286706493,True,,city,,secondary,,,0,4.045,1770286459896,trial_9,9872350R.png,30.png,9872350R.png,1770286455851,0-XTEVM
16,0.7533,0,False,4,2.83,3.75,3.67,4.67,1770285756770,7,2026-02-05T09:59:21.145000+00:00,phase1_completed,none,5,4.75,3,4,4.25,3,3.25,4.25,4.75,2.75,2.25,3.75,3.5,4,4.25,,,female,0,0,none,,0,1770285976636,0,385,0-YLHX6,1770286615272,True,,budapest,,secondary,,,0,8.58,1770286121058,trial_1,9166468R.png,18.png,9166468R.png,1770286112478,0-YLHX6
16,0.7641,0,False,4,2.83,3.75,3.67,4.67,1770285756770,7,2026-02-05T09:59:21.145000+00:00,phase1_completed,none,5,4.75,3,4,4.25,3,3.25,4.25,4.75,2.75,2.25,3.75,3.5,4,4.25,,,female,0,0,none,,0,1770285976636,0,385,0-YLHX6,1770286615272,True,,budapest,,secondary,,,0,17.953,1770286258386,trial_10,9667180L.png,35.png,9667180L.png,1770286240433,0-YLHX6
16,0.645,0,False,4,2.83,3.75,3.67,4.67,1770285756770,2,2026-02-05T09:59:21.145000+00:00,phase1_completed,none,5,4.75,3,4,4.25,3,3.25,4.25,4.75,2.75,2.25,3.75,3.5,4,4.25,,,female,0,0,none,,1,1770285976636,0,385,0-YLHX6,1770286615272,True,,budapest,,secondary,,,0,8.701,1770286267394,trial_11,9480211R.png,3.png,9480211R.png,1770286258693,0-YLHX6
16,0.5825,0,False,4,2.83,3.75,3.67,4.67,1770285756770,7,2026-02-05T09:59:21.145000+00:00,phase1_completed,none,5,4.75,3,4,4.25,3,3.25,4.25,4.75,2.75,2.25,3.75,3.5,4,4.25,,,female,1,2,none,,1,1770285976636,0,385,0-YLHX6,1770286615272,True,,budapest,,secondary,,,0,3.798,1770286271515,trial_12,9626432R.png,15.png,9626432R.png,1770286267717,0-YLHX6
16,0.9843,1,False,4,2.83,3.75,3.67,4.67,1770285756770,3,2026-02-05T09:59:21.145000+00:00,phase1_completed,none,5,4.75,3,4,4.25,3,3.25,4.25,4.75,2.75,2.25,3.75,3.5,4,4.25,,,female,1,2,none,,0,1770285976636,0,385,0-YLHX6,1770286615272,True,,budapest,,secondary,,,0,27.932,1770286299778,trial_13,9322109R.png,14.png,9322109R.png,1770286271846,0-YLHX6
16,0.0818,1,False,4,2.83,3.75,3.67,4.67,1770285756770,6,2026-02-05T09:59:21.145000+00:00,phase1_completed,none,5,4.75,3,4,4.25,3,3.25,4.25,4.75,2.75,2.25,3.75,3.5,4,4.25,,,female,0,0,none,,1,1770285976636,0,385,0-YLHX6,1770286615272,True,,budapest,,secondary,,,0,8.079,1770286308202,trial_14,9397988L.png,42.png,9397988L.png,1770286300123,0-YLHX6
16,0.3014,1,False,4,2.83,3.75,3.67,4.67,1770285756770,2,2026-02-05T09:59:21.145000+00:00,phase1_completed,none,5,4.75,3,4,4.25,3,3.25,4.25,4.75,2.75,2.25,3.75,3.5,4,4.25,,,female,0,0,none,,1,1770285976636,0,385,0-YLHX6,1770286615272,True,,budapest,,secondary,,,0,4.688,1770286313250,trial_15,9299531R.png,36.png,9299531R.png,1770286308562,0-YLHX6
16,0.3771,0,False,4,2.83,3.75,3.67,4.67,1770285756770,6,2026-02-05T09:59:21.145000+00:00,phase1_completed,none,5,4.75,3,4,4.25,3,3.25,4.25,4.75,2.75,2.25,3.75,3.5,4,4.25,,,female,0,0,none,,1,1770285976636,0,385,0-YLHX6,1770286615272,True,,budapest,,secondary,,,0,5.67,1770286319258,trial_16,9872350R.png,30.png,9872350R.png,1770286313588,0-YLHX6
